Line name,Sample_1 (mm),Sample_2 (mm),Sample_3 (mm),Sample_4 (mm),Sample_5 (mm),Sample_6 (mm),Sample_7 (mm),Sample_8 (mm),Sample_9 (mm),Sample_10 (mm),Sample_11 (mm),Sample_12 (mm),Sample_13 (mm),Sample_14 (mm),Sample_15 (mm),Sample_16 (mm),Sample_17 (mm),Sample_18 (mm),Sample_19 (mm),Sample_20 (mm)
line_000000_layer_0.20.png,1.4054,2.7406,2.8108,2.7406,2.7406,2.6703,2.6703,2.6000,2.8811,2.9514,2.8811,2.6000,2.6000,2.5298,2.6000,2.8108,2.9514,3.0217,3.0919,1.7568
line_000001_layer_0.20.png,2.6703,2.7406,2.7406,2.8811,2.6703,2.6000,2.6703,2.6703,2.6000,2.7406,2.8108,2.7406,2.6703,2.6000,2.5298,2.4595,2.6000,2.6703,2.6703,2.8811
line_000002_layer_0.20.png,2.9514,2.9514,2.7406,2.7406,2.7406,2.6703,2.8108,2.8108,2.8811,2.8811,2.7406,2.7406,2.7406,2.6703,2.6703,2.6703,2.5298,2.7406,2.8108,0.3514
line_000003_layer_0.20.png,2.3189,2.9514,2.9514,2.1784,2.3189,2.9514,2.3892,2.5298,2.7406,2.7406,2.8811,3.0217,3.0217,3.0217,2.8811,2.9514,2.8811,2.8811,2.9514,2.3189
line_000004_layer_0.20.png,2.1081,2.1081,2.0379,1.1243,1.5460,1.6865,1.8973,2.1081,2.1081,2.1081,2.1081,2.1081,1.9676,1.8270,1.8973,1.8973,1.8973,2.1081,2.1081,2.1081
line_000005_layer_0.40.png,2.9514,2.9514,2.7406,2.7406,2.6703,2.6703,2.8108,2.8108,2.8811,2.8811,2.7406,2.7406,2.7406,2.6703,2.6703,2.6703,2.5298,2.6703,2.8108,0.3514
line_000006_layer_0.40.png,2.3189,2.3189,2.2487,2.1081,2.3189,2.4595,2.5298,2.6703,2.3189,2.8108,2.3189,3.0217,2.3189,3.0217,2.9514,2.9514,2.8811,2.8811,2.9514,2.2487
line_000007_layer_0.40.png,2.8108,2.8108,2.7406,2.7406,2.7406,2.6703,2.5298,2.6703,3.0217,2.9514,2.8811,2.5298,2.6000,2.5298,2.6000,2.8108,2.9514,3.0217,3.0919,0.3514
line_000008_layer_0.40.png,2.6703,2.7406,2.7406,2.9514,2.6703,2.6000,2.6703,2.7406,2.7406,2.6703,2.7406,2.8811,2.6703,2.6703,2.6000,2.5298,2.4595,2.4595,2.6703,2.8811
line_000009_layer_0.40.png,2.1081,2.1081,1.4054,1.4757,1.6162,1.7568,1.8270,1.9676,2.1081,2.1081,1.8973,1.8270,1.8270,1.8270,1.8973,2.1081,2.1081,1.8973,2.1081,2.1081
